power,time,gas,pressure,ratio
396,9065,Argon,46,1.547277794
1703,10481,Argon,96,2.40556934
489,15493,Argon,46,1.007313721
4962,15074,Argon,36,1.752954092
4139,1957,Argon,90,3.878359673
4297,9256,Nitrogen,11,1.663455182
5480,12267,Nitrogen,18,1.005867927
1316,10972,Nitrogen,20,1.097196388
2068,15492,Nitrogen,31,1.164491994
3706,10137,Nitrogen,37,1.308565959
242,4974,Nitrogen,44,1.001748854
429,4810,Nitrogen,63,1.091360451
4886,11627,Nitrogen,68,1.624900453
1108,9828,Nitrogen,82,0.822930933
933,7024,Nitrogen,94,0.957551143
3907,9823,Air,3,0.12
5332,6770,Air,63,0.12
1286,18227,Air,92,0.12
83,8031,Air,61,0.12
1843,16852,Air,81,0.12
4084,2247,Argon,87,3.234511681
4080,619,Argon,90,3.463625172
4190,3513,Argon,85,3.511957117
4229,3706,Argon,84,3.154493003
3995,4249,Argon,84,2.917860127
3950,1978,Argon,91,3.153203935
3902,915,Argon,91,3.351023155
4198,4520,Argon,92,3.031630055
4111,4619,Argon,83,2.319966458
3816,1443,Argon,89,3.144968748
4128,1772,Argon,90,3.433929382
3773,2909,Argon,92,3.195728105
3112,1875,Argon,92,4.597213476
2640,1894,Argon,93,4.982250576
2371,1839,Argon,93,4.938898891
2232,1811,Argon,93,4.185933086
2132,1831,Argon,93,4.674909669
3331,1919,Argon,92,4.56812831
2108,1822,Argon,93,3.451911478
3250,1828,Argon,93,3.961513131
2136,1833,Argon,93,5.710152082
2122,1830,Argon,94,4.695033397
2044,1926,Air,93,0.12
2036,1938,Argon,93,4.252937613
2051,1928,Air,93,0.12
1985,1938,Argon,93,4.840338541512252
2030,1923,Argon,92,4.450729794174603
2031,1924,Argon,93,4.522467493453667
2072,1925,Argon,95,4.278475427069432
1918,3445,Nitrogen,93,1.4050643866063632
1964,1953,Argon,93,4.682302556142034
1943,1964,Argon,93,4.349416681370541
1934,1940,Nitrogen,93,1.8605227253428969
1939,1970,Argon,92,5.166911061965535
1937,3236,Argon,92,3.889057904401194
2244,1926,Argon,93,4.999761826115919
1932,1927,Argon,7,2.0607787571047314
1936,3259,Argon,100,6.584283966824834
1936,3346,Argon,100,4.50039921717612
2116,3348,Argon,99,5.120480361467313
1936,3254,Argon,100,4.745233082510978
1935,3289,Argon,100,4.6973299193227565
2004,3248,Nitrogen,100,1.8596173255312536
1926,11076,Argon,100,4.9354044762967355
1923,11160,Argon,99,5.3528133178220525
1921,11144,Argon,98,4.426664168174683
1920,11387,Argon,100,3.3446514611522153
1912,3405,Argon,94,5.021750860592777
1917,6177,Argon,100,4.381749872691647
1880,17750,Argon,96,4.627738879150805
